Declined Noun,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
aestus:accpl,"m,IV,acc,pl","f,III,nom,pl","m,I,nom,sg","m,I,nom,sg","m,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
aetas:nomsg,"f,III,nom,sg","f,I,gen,pl","f,I,nom,sg","f,I,nom,sg","f,I,gen,sg","m,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg"
aetas:gensg,"f,III,gen,sg","f,I,gen,pl","m,III,gen,pl","f,III,gen,pl","m,III,gen,sg","m,III,gen,sg","f,III,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg"
aetas:accsg,"f,III,acc,sg","f,III,gen,pl","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","m,III,gen,pl","f,III,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl"
aetas:nompl,"f,III,nom,pl","f,I,nom,pl","f,I,gen,pl","f,I,gen,sg","f,III,gen,sg","m,III,gen,sg","f,III,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
aetas:genpl,"f,III,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","m,III,gen,pl","f,III,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg"
aetas:accpl,"f,III,acc,pl","f,I,nom,pl","f,I,gen,pl","f,I,gen,sg","f,III,gen,sg","m,III,gen,sg","f,III,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
ager:nomsg,"m,II,nom,sg","f,III,nom,sg","f,I,gen,sg","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
ager:gensg,"m,II,gen,sg","m,II,gen,sg","f,I,gen,sg","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
ager:accsg,"m,II,acc,sg","m,II,gen,sg","m,II,gen,sg","f,III,gen,sg","m,III,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
ager:nompl,"m,II,nom,pl","m,II,gen,sg","f,I,gen,sg","m,III,gen,sg","m,III,gen,sg","m,III,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
ager:genpl,"m,II,gen,pl","m,III,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl"
ager:accpl,"m,II,acc,pl","f,III,nom,pl","f,I,gen,sg","m,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg","f,I,gen,sg"
agnus:nomsg,"m,II,nom,sg","f,I,gen,pl","f,III,gen,pl","f,I,gen,pl","f,III,gen,sg","m,II,gen,sg","m,III,gen,sg","f,I,gen,pl","f,III,gen,pl","f,I,gen,pl","f,I,gen,sg","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,sg"
agnus:gensg,"m,II,gen,sg","f,III,gen,sg","f,III,gen,pl","f,III,gen,pl","m,III,gen,sg","m,III,nom,sg","f,III,gen,sg","f,III,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg","f,I,gen,pl","f,I,gen,sg","f,I,gen,sg"
agnus:accsg,"m,II,acc,sg","m,III,gen,pl","f,III,gen,pl","f,I,gen,pl","f,I,gen,pl","m,III,nom,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl","f,I,gen,pl"
